02ffeecd09331f27f731b2eabc6d1e0dcd91daa4.flv,02ffeecd09331f27f731b2eabc6d1e0dcd91daa4.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)
1ae7b9a578d5cdff57415e3701cd064d03ca3246.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(0, 0)(2, 1)
1ae7b9a578d5cdff57415e3701cd064d03ca3246.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(0, 0)(2, 1)
1ae7b9a578d5cdff57415e3701cd064d03ca3246.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,36d4ff38748397fadca52e851f1b6f4679bf3027.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,36d4ff38748397fadca52e851f1b6f4679bf3027.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv	(2, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv	(4, 4)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,377f81e79938ba062762e74a3b8d4136b5523fa3.flv	(2, 3)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,377f81e79938ba062762e74a3b8d4136b5523fa3.flv	(4, 4)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(2, 5)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(2, 5)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(2, 6)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(4, 5)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(4, 5)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(4, 6)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(2, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(2, 5)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(4, 3)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(4, 5)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(4, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(4, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(2, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(4, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(4, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(4, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(4, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(4, 4)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(2, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(4, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(2, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(4, 2)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(4, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(2, 3)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(4, 3)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(4, 1)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(2, 0)
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(4, 0)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,36d4ff38748397fadca52e851f1b6f4679bf3027.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv	(0, 1)(1, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv	(1, 4)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,377f81e79938ba062762e74a3b8d4136b5523fa3.flv	(0, 3)(1, 4)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(0, 5)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(0, 5)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(0, 2)(1, 3)(2, 4)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(1, 5)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(0, 0)(2, 1)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(0, 1)(1, 2)(2, 3)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(0, 0)(2, 1)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(0, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(0, 0)(1, 1)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(0, 0)(2, 1)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(1, 5)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(0, 1)(1, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(0, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(0, 0)(1, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(0, 0)(2, 1)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(0, 0)(1, 1)(2, 2)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(1, 3)
36d4ff38748397fadca52e851f1b6f4679bf3027.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(0, 0)(1, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,377f81e79938ba062762e74a3b8d4136b5523fa3.flv	(1, 3)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,377f81e79938ba062762e74a3b8d4136b5523fa3.flv	(4, 4)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(1, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(1, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(1, 6)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(4, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(4, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(4, 6)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(1, 2)(2, 4)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(1, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(4, 3)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(4, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(4, 0)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(1, 1)(2, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(4, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(1, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(4, 0)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(4, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(4, 0)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(4, 0)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(2, 5)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(4, 4)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(1, 1)
